Question,Answer
"Мы потеряли свой код регистрации, что нам делать?","Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
"Утерян код регистрации. Подскажите, что с этим делать?","Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
Где взять код регистрации?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
Я забыл код регистрации. Как его восстановить?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
Как восстановить код регистрации?,"Вы можете написать нам письмо на почту приемной кампании, с адреса, который указали при регистрации или обратиться к нашим сотрудниками через Telegram и предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
"При регистрации мы допустили ошибку, как нам поменять регистрационные данные?","Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
При регистрации была допущена ошибка. Я хотел бы поменять регистрационные данные.,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
"Нужно исправить даннные, что делать?","Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
Я ошиблась в имени ребенка. Где можно его изменить?,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
Как изменить регистрационные данные?,"Некоторые данные можно поменять через личный кабинет (БОТа Telegram). Также вы можете написать письмо на официальную почту приемной кампании pk@ftl.name или написать в Telegram нашим сотрудникам. Потребуется предоставить информацию, которая позволит идентифицировать вашего ребенка (ФИО, дата рождения и адрес электронной почты, указанный при регистрации)."
"Что такое личный кабинет, зачем он нужен и где его искать?",Подробно про личный кабинет вы можете прочитать в соответствующем разделе.
Зачем нужен личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.
Как войти в личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.
Как попасть в личный кабинет?,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.
Расскажите подробнее про личный кабинет.,Подробно про личный кабинет вы можете прочитать в соответствующем разделе.
Диплом призёра или победителя по физике очного этапа олимпиады «Физтех» влияет ли на поступление в 10 класс в Физтех-лицей?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года."
"Влияет ли диплом, полученный на очном этапе олимпиады ""Физтех"", на поступление в Физтех-лицей?","На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года."
Как влияет олимпиада Физтех на поступление?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года."
